"x","y","year","season","pres"
2250,350,1,"Autumn",1
2050,250,1,"Autumn",1
2350,450,1,"Autumn",1
250,850,1,"Spring",1
850,1050,1,"Spring",1
50,1150,1,"Spring",1
2150,450,1,"Spring",1
350,950,1,"Spring",1
1850,350,1,"Spring",1
550,1350,1,"Spring",1
50,950,1,"Spring",1
2150,250,1,"Spring",1
350,1150,2,"Autumn",1
850,1150,2,"Autumn",1
950,1050,2,"Autumn",1
450,1350,2,"Autumn",1
650,750,2,"Autumn",1
2150,450,2,"Spring",1
150,1050,2,"Spring",1
450,1250,2,"Spring",1
2050,650,2,"Spring",1
150,1050,3,"Autumn",1
2150,750,3,"Autumn",1
1750,550,3,"Autumn",1
850,1050,3,"Autumn",1
750,1050,3,"Spring",1
750,950,3,"Spring",1
850,1050,3,"Spring",1
2350,250,3,"Spring",1
450,1450,4,"Autumn",1
350,1150,4,"Autumn",1
1950,350,4,"Autumn",1
50,1150,4,"Autumn",1
1650,550,4,"Autumn",1
50,1150,4,"Spring",1
150,1250,4,"Spring",1
2250,550,4,"Spring",1
2050,750,4,"Spring",1
2250,350,4,"Spring",1
1950,350,4,"Spring",1
450,1150,4,"Spring",1
1850,550,5,"Autumn",1
550,750,5,"Autumn",1
2050,250,5,"Autumn",1
1050,1150,5,"Autumn",1
550,1450,5,"Autumn",1
550,850,5,"Spring",1
1050,1250,5,"Spring",1
350,850,5,"Spring",1
50,950,5,"Spring",1
50,950,6,"Spring",1
1850,450,6,"Spring",1
1750,450,6,"Spring",1
950,1250,7,"Autumn",1
450,850,7,"Autumn",1
2250,650,7,"Autumn",1
1650,450,7,"Autumn",1
550,950,7,"Autumn",1
2050,550,7,"Autumn",1
1650,250,7,"Autumn",1
850,850,7,"Autumn",1
2050,450,7,"Autumn",1
450,1450,7,"Autumn",1
50,1150,7,"Spring",1
850,850,7,"Spring",1
650,950,7,"Spring",1
350,850,7,"Spring",1
650,650,7,"Spring",1
750,850,7,"Spring",1
750,850,8,"Autumn",1
250,1050,8,"Autumn",1
2250,450,8,"Autumn",1
1950,250,8,"Autumn",1
350,950,8,"Autumn",1
2350,450,8,"Spring",1
750,950,8,"Spring",1
550,1450,8,"Spring",1
850,1050,8,"Spring",1
350,1250,8,"Spring",1
550,850,8,"Spring",1
2150,550,8,"Spring",1
750,850,8,"Spring",1
2350,350,8,"Spring",1
1850,450,8,"Spring",1
1650,350,8,"Spring",1
1950,250,9,"Autumn",1
650,1050,9,"Autumn",1
2150,250,9,"Autumn",1
1650,250,9,"Spring",1
1950,350,9,"Spring",1
550,1150,9,"Spring",1
450,1150,9,"Spring",1
1950,150,9,"Spring",1
2350,650,9,"Spring",1
2250,450,10,"Autumn",1
1750,350,10,"Autumn",1
1850,550,10,"Autumn",1
2250,250,10,"Autumn",1
2150,150,10,"Autumn",1
150,850,10,"Spring",1
450,850,10,"Spring",1
2150,250,10,"Spring",1
150,1050,10,"Spring",1
350,950,10,"Spring",1
450,950,10,"Spring",1
2350,550,10,"Spring",1
1950,350,11,"Autumn",1
1750,450,11,"Autumn",1
1550,450,11,"Autumn",1
50,950,11,"Autumn",1
50,950,11,"Spring",1
450,1450,11,"Spring",1
550,650,11,"Spring",1
150,1050,11,"Spring",1
550,1250,11,"Spring",1
250,1150,11,"Spring",1
1750,350,11,"Spring",1
1950,550,11,"Spring",1
350,1150,11,"Spring",1
50,1050,11,"Spring",1
2250,450,12,"Autumn",1
2350,350,12,"Autumn",1
2050,150,12,"Autumn",1
2050,550,12,"Spring",1
550,1350,13,"Autumn",1
2050,250,13,"Autumn",1
1650,350,13,"Autumn",1
2350,450,13,"Spring",1
450,1350,13,"Spring",1
550,1450,13,"Spring",1
250,850,13,"Spring",1
650,850,13,"Spring",1
250,1250,13,"Spring",1
550,750,13,"Spring",1
350,1150,13,"Spring",1
2150,250,14,"Spring",1
450,1350,14,"Spring",1
1750,250,14,"Spring",1
450,1050,14,"Spring",1
550,1450,15,"Autumn",1
2150,150,15,"Autumn",1
1550,350,15,"Spring",1
150,1050,15,"Spring",1
550,1350,15,"Spring",1
250,1350,15,"Spring",1
1750,450,15,"Spring",1
150,1150,15,"Spring",1
650,650,15,"Spring",1
1750,250,15,"Spring",1
1650,450,15,"Spring",1
