"year","pixel_id","forest_cover","pr_ann","elevation","x","y"
11,5,0.846000015735626,778,1247,450,1450
4,5,0.856000006198883,1100,1247,450,1450
7,5,0.824999988079071,942,1247,450,1450
8,6,0.829999983310699,1070,1290,550,1450
15,6,0.809000015258789,1107,1290,550,1450
5,6,0.902999997138977,1076,1290,550,1450
13,6,0.843999981880188,913,1290,550,1450
15,33,0.89300000667572,1112,1380,250,1350
2,35,0.904999971389771,1020,1706,450,1350
13,35,0.864000022411346,960,1706,450,1350
14,35,0.824000000953674,717,1706,450,1350
1,36,0.930999994277954,1150,1766,550,1350
13,36,0.792999982833862,952,1766,550,1350
15,36,0.850000023841858,1140,1766,550,1350
4,62,0.924000024795532,1092,1444,150,1250
13,63,0.841000020503998,949,1725,250,1250
8,64,0.888000011444092,1130,1968,350,1250
2,65,0.834999978542328,1017,2141,450,1250
11,66,0.787999987602234,803,2219,550,1250
7,70,0.91100001335144,657,1570,950,1250
5,71,0.933000028133392,704,1283,1050,1250
7,91,0.920000016689301,892,1315,50,1150
1,91,0.830999970436096,1164,1315,50,1150
4,91,0.921999990940094,1080,1315,50,1150
15,92,0.814999997615814,1115,1646,150,1150
11,93,0.906000018119812,785,1971,250,1150
11,94,0.800000011920929,791,2252,350,1150
4,94,0.933000028133392,1074,2252,350,1150
13,94,0.827000021934509,972,2252,350,1150
2,94,0.853999972343445,1011,2252,350,1150
4,95,0.827000021934509,1089,2452,450,1150
9,95,0.847000002861023,985,2452,450,1150
9,96,0.90200001001358,980,2541,550,1150
2,99,0.862999975681305,870,2102,850,1150
5,101,0.819999992847443,731,1460,1050,1150
11,121,0.851000010967255,772,1366,50,1050
2,122,0.919000029563904,1017,1711,150,1050
3,122,0.857999980449677,1207,1711,150,1050
11,122,0.919000029563904,793,1711,150,1050
10,122,0.876999974250793,1172,1711,150,1050
15,122,0.870000004768372,1133,1711,150,1050
8,123,0.883000016212463,1117,2050,250,1050
14,125,0.811999976634979,741,2553,450,1050
9,127,0.819000005722046,988,2609,650,1050
3,128,0.907999992370605,1222,2449,750,1050
8,129,0.828000009059906,992,2188,850,1050
