"year","season","pixel_id","forest_cover","prseas","elevation","x","y"
11,"Spring",5,0.846000015735626,310,1247,450,1450
4,"Autumn",5,0.856000006198883,370,1247,450,1450
7,"Autumn",5,0.824999988079071,370,1247,450,1450
13,"Spring",6,0.843999981880188,364,1290,550,1450
15,"Autumn",6,0.809000015258789,370,1290,550,1450
5,"Autumn",6,0.902999997138977,340,1290,550,1450
8,"Spring",6,0.829999983310699,370,1290,550,1450
15,"Spring",33,0.89300000667572,370,1380,250,1350
14,"Spring",35,0.824000000953674,203,1706,450,1350
13,"Spring",35,0.864000022411346,370,1706,450,1350
2,"Autumn",35,0.904999971389771,370,1706,450,1350
15,"Spring",36,0.850000023841858,370,1766,550,1350
13,"Autumn",36,0.792999982833862,238,1766,550,1350
1,"Spring",36,0.930999994277954,370,1766,550,1350
4,"Spring",62,0.924000024795532,370,1444,150,1250
13,"Spring",63,0.841000020503998,370,1725,250,1250
8,"Spring",64,0.888000011444092,370,1968,350,1250
2,"Spring",65,0.834999978542328,214,2141,450,1250
11,"Spring",66,0.787999987602234,311,2219,550,1250
7,"Autumn",70,0.91100001335144,284,1570,950,1250
5,"Spring",71,0.933000028133392,251,1283,1050,1250
4,"Spring",91,0.921999990940094,370,1315,50,1150
4,"Autumn",91,0.921999990940094,370,1315,50,1150
1,"Spring",91,0.830999970436096,370,1315,50,1150
7,"Spring",91,0.920000016689301,182,1315,50,1150
15,"Spring",92,0.814999997615814,370,1646,150,1150
11,"Spring",93,0.906000018119812,314,1971,250,1150
11,"Spring",94,0.800000011920929,323,2252,350,1150
13,"Spring",94,0.827000021934509,370,2252,350,1150
4,"Autumn",94,0.933000028133392,370,2252,350,1150
2,"Autumn",94,0.853999972343445,370,2252,350,1150
9,"Spring",95,0.847000002861023,370,2452,450,1150
4,"Spring",95,0.827000021934509,370,2452,450,1150
9,"Spring",96,0.90200001001358,370,2541,550,1150
2,"Autumn",99,0.862999975681305,342,2102,850,1150
5,"Autumn",101,0.819999992847443,209,1460,1050,1150
11,"Spring",121,0.851000010967255,298,1366,50,1050
15,"Spring",122,0.870000004768372,370,1711,150,1050
10,"Spring",122,0.876999974250793,370,1711,150,1050
2,"Spring",122,0.919000029563904,226,1711,150,1050
3,"Autumn",122,0.857999980449677,370,1711,150,1050
11,"Spring",122,0.919000029563904,302,1711,150,1050
8,"Autumn",123,0.883000016212463,370,2050,250,1050
14,"Spring",125,0.811999976634979,206,2553,450,1050
9,"Autumn",127,0.819000005722046,370,2609,650,1050
3,"Spring",128,0.907999992370605,370,2449,750,1050
1,"Spring",129,0.887000024318695,370,2188,850,1050
3,"Spring",129,0.815999984741211,370,2188,850,1050
3,"Autumn",129,0.815999984741211,362,2188,850,1050
8,"Spring",129,0.828000009059906,351,2188,850,1050
2,"Autumn",130,0.916999995708466,311,1864,950,1050
11,"Spring",151,0.866999983787537,322,1297,50,950
11,"Autumn",151,0.866999983787537,268,1297,50,950
5,"Spring",151,0.824999988079071,370,1297,50,950
6,"Spring",151,0.86599999666214,164,1297,50,950
1,"Spring",151,0.866999983787537,370,1297,50,950
1,"Spring",154,0.916000008583069,370,2218,350,950
10,"Spring",154,0.889999985694885,370,2218,350,950
8,"Autumn",154,0.904999971389771,370,2218,350,950
10,"Spring",155,0.862999975681305,370,2415,450,950
7,"Autumn",156,0.887000024318695,370,2503,550,950
7,"Spring",157,0.894999980926514,178,2468,650,950
8,"Spring",158,0.883000016212463,370,2317,750,950
3,"Spring",158,0.83899998664856,370,2317,750,950
10,"Spring",182,0.876999974250793,370,1402,150,850
13,"Spring",183,0.892000019550323,370,1674,250,850
1,"Spring",183,0.894999980926514,370,1674,250,850
5,"Spring",184,0.90200001001358,370,1910,350,850
7,"Spring",184,0.848999977111816,194,1910,350,850
10,"Spring",185,0.830999970436096,370,2078,450,850
7,"Autumn",185,0.888999998569489,370,2078,450,850
5,"Spring",186,0.929000020027161,370,2152,550,850
8,"Spring",186,0.89300000667572,370,2152,550,850
13,"Spring",187,0.771000027656555,370,2123,650,850
7,"Spring",188,0.839999973773956,199,1995,750,850
8,"Spring",188,0.915000021457672,370,1995,750,850
8,"Autumn",188,0.915000021457672,370,1995,750,850
7,"Autumn",189,0.860000014305115,366,1787,850,850
7,"Spring",189,0.860000014305115,180,1787,850,850
5,"Autumn",216,0.820999979972839,370,1689,550,750
13,"Spring",216,0.843999981880188,370,1689,550,750
2,"Autumn",217,0.855000019073486,370,1667,650,750
4,"Spring",231,0.866999983787537,370,1348,2050,750
3,"Autumn",232,0.848999977111816,305,1278,2150,750
11,"Spring",246,0.908999979496002,321,1218,550,650
15,"Spring",247,0.772000014781952,370,1203,650,650
7,"Spring",247,0.815999984741211,195,1203,650,650
2,"Spring",261,0.860000014305115,190,2073,2050,650
7,"Autumn",263,0.867999970912933,217,1719,2250,650
9,"Spring",264,0.800000011920929,163,1410,2350,650
4,"Autumn",287,0.899999976158142,370,1672,1650,550
3,"Autumn",288,0.922999978065491,370,2092,1750,550
5,"Autumn",289,0.836000025272369,370,2454,1850,550
10,"Autumn",289,0.78600001335144,370,2454,1850,550
11,"Spring",290,0.804000020027161,314,2682,1950,550
12,"Spring",291,0.772000014781952,370,2724,2050,550
7,"Autumn",291,0.842000007629395,370,2724,2050,550
8,"Spring",292,0.931999981403351,339,2569,2150,550
4,"Spring",293,0.845000028610229,274,2250,2250,550
10,"Spring",294,0.898000001907349,183,1835,2350,550
11,"Autumn",316,0.813000023365021,262,1368,1550,450
7,"Autumn",317,0.839999973773956,370,1828,1650,450
15,"Spring",317,0.853999972343445,370,1828,1650,450
11,"Autumn",318,0.796000003814697,256,2303,1750,450
15,"Spring",318,0.776000022888184,370,2303,1750,450
6,"Spring",318,0.888999998569489,164,2303,1750,450
6,"Spring",319,0.897000014781952,162,2710,1850,450
8,"Spring",319,0.917999982833862,370,2710,1850,450
7,"Autumn",321,0.823000013828278,370,3016,2050,450
2,"Spring",322,0.930999994277954,177,2843,2150,450
1,"Spring",322,0.912999987602234,370,2843,2150,450
12,"Autumn",323,0.805000007152557,242,2489,2250,450
8,"Autumn",323,0.885999977588654,202,2489,2250,450
10,"Autumn",323,0.847000002861023,199,2489,2250,450
1,"Autumn",324,0.83899998664856,151,2026,2350,450
13,"Spring",324,0.873000025749207,164,2026,2350,450
8,"Spring",324,0.867999970912933,159,2026,2350,450
15,"Spring",346,0.901000022888184,370,1265,1550,350
8,"Spring",347,0.91100001335144,370,1695,1650,350
13,"Autumn",347,0.889999985694885,223,1695,1650,350
10,"Autumn",348,0.860000014305115,370,2137,1750,350
11,"Spring",348,0.794000029563904,313,2137,1750,350
1,"Spring",349,0.90200001001358,370,2516,1850,350
4,"Autumn",350,0.862999975681305,370,2755,1950,350
11,"Autumn",350,0.859000027179718,260,2755,1950,350
4,"Spring",350,0.862999975681305,370,2755,1950,350
9,"Spring",350,0.912999987602234,370,2755,1950,350
1,"Autumn",353,0.892000019550323,242,2313,2250,350
4,"Spring",353,0.828000009059906,280,2313,2250,350
12,"Autumn",354,0.834999978542328,203,1885,2350,350
8,"Spring",354,0.850000023841858,187,1885,2350,350
7,"Autumn",377,0.866999983787537,370,1334,1650,250
9,"Spring",377,0.836000025272369,370,1334,1650,250
15,"Spring",378,0.878000020980835,370,1676,1750,250
14,"Spring",378,0.833000004291534,218,1676,1750,250
8,"Autumn",380,0.896000027656555,370,2151,1950,250
9,"Autumn",380,0.822000026702881,370,2151,1950,250
1,"Autumn",381,0.845000028610229,370,2186,2050,250
5,"Autumn",381,0.907999992370605,369,2186,2050,250
13,"Autumn",381,0.861000001430511,216,2186,2050,250
14,"Spring",382,0.920000016689301,177,2064,2150,250
9,"Autumn",382,0.833999991416931,340,2064,2150,250
10,"Spring",382,0.88400000333786,351,2064,2150,250
1,"Spring",382,0.898999989032745,370,2064,2150,250
10,"Autumn",383,0.91100001335144,240,1812,2250,250
